Symbol,FDR,AUC.ctrl
Mrpl51,6.89e-198,0.690
Bysl,6.30e-197,0.690
Mrpl11,9.46e-197,0.690
Mat2a,2.16e-196,0.689
Abcf2,2.34e-196,0.690
Srp9,6.05e-196,0.689
Eif4ebp1,1.33e-195,0.689
Ipo5,1.55e-194,0.689
Elavl1,3.85e-194,0.688
Atp5c1,4.39e-194,0.688
Rae1,5.92e-194,0.689
Wdr12,6.95e-194,0.688
Hmgn1,9.62e-194,0.688
Rpn2,1.44e-193,0.688
Gusb,2.02e-193,0.688
Timm17a,2.38e-193,0.688
Bri3bp,4.98e-193,0.688
Mrps17,1.61e-192,0.687
Idh2,1.64e-192,0.688
Bag1,2.01e-192,0.688
Slc4a8,5.96e-192,0.688
Gfer,1.42e-191,0.687
Ube2d3,6.11e-191,0.687
Dnajc19,6.52e-191,0.687
Yrdc,7.10e-191,0.687
Fh1,8.00e-191,0.687
Hat1,1.81e-190,0.687
Polr2h,2.84e-190,0.687
St6galnac4,1.01e-189,0.687
2310039H08Rik,1.24e-189,0.687
Mrfap1,1.42e-189,0.686
Tuba4a,5.00e-189,0.686
Pomp,9.26e-189,0.686
Cox4i1,9.35e-189,0.686
Fxyd5,1.66e-188,0.686
Clta,4.77e-188,0.685
Bola2,6.90e-188,0.685
Ung,1.42e-187,0.686
Eif4g1,6.80e-187,0.685
Pgs1,7.98e-187,0.685
Mrpl38,2.32e-186,0.685
Oaz1,3.65e-186,0.684
Psme3,5.19e-186,0.685
Rer1,5.74e-186,0.684
Sigmar1,9.81e-186,0.685
Pgp,3.41e-185,0.684
Brix1,4.31e-185,0.684
P4hb,6.49e-185,0.684
Ndufb4,4.58e-184,0.683
Mrpl57,5.48e-184,0.683
Adrm1,5.66e-184,0.684
Rars,1.27e-183,0.684
Mrpl33,2.61e-183,0.683
Selenof,5.97e-183,0.683
Ciapin1,6.23e-183,0.683
Baz1a,8.67e-183,0.683
Banf1,3.66e-182,0.682
Rftn1,5.03e-182,0.683
Sdhb,5.33e-182,0.682
Mcm5,1.71e-181,0.682
Arpc3,1.85e-181,0.682
Grwd1,2.64e-181,0.682
Gars,1.01e-180,0.682
Imp4,2.14e-180,0.682
Mrpl2,4.75e-180,0.682
Rcc1,3.99e-179,0.681
Clns1a,1.02e-178,0.681
Spcs2,2.15e-178,0.681
Mrps25,3.94e-178,0.681
Syce2,1.11e-177,0.681
Samm50,1.74e-177,0.680
Nubp2,3.51e-177,0.680
Psmc2,3.63e-177,0.680
Sae1,9.08e-177,0.680
Pdap1,1.17e-176,0.680
Vapa,1.81e-176,0.680
Ltv1,2.13e-176,0.680
Rps23,2.29e-176,0.680
Rrp9,2.47e-176,0.680
Mcm3,4.80e-176,0.680
Tsfm,6.14e-176,0.680
Atox1,6.68e-176,0.679
Gsr,2.81e-175,0.679
Sumo3,3.39e-175,0.679
Ruvbl1,4.88e-175,0.679
Shmt1,2.84e-174,0.679
Gmnn,5.56e-174,0.679
Zmynd19,1.32e-173,0.678
Prpf31,1.41e-173,0.678
Txn2,1.61e-173,0.678
Rsl24d1,2.03e-173,0.678
Jagn1,3.74e-173,0.678
Nudt19,3.99e-173,0.678
Psmg1,5.55e-173,0.678
Endog,7.45e-173,0.678
Cinp,8.47e-173,0.678
Tex30,1.28e-172,0.678
Tmed10,1.73e-172,0.677
Mrps10,2.20e-170,0.677
Rad23b,5.65e-170,0.677
Mrpl55,8.71e-170,0.676
Abhd11,8.76e-170,0.676
Ak6,1.93e-169,0.676
Psmb7,2.37e-169,0.676
Uhrf1,2.44e-169,0.676
Tfrc,3.38e-169,0.676
Ptbp1,1.17e-168,0.675
Cks1b,4.62e-168,0.676
Emc8,4.96e-168,0.676
Farsb,3.11e-167,0.675
Usp14,6.61e-167,0.675
Lsm5,7.52e-167,0.675
Naa20,1.22e-166,0.675
Bola1,2.72e-166,0.675
